Geno	Mean_Temp	Diurinal_Range	Isothermality	Temp_Seasonality	Max_Temp	Min_Temp	Temp_Range	Temp_Wettest_Quarter	Temp_Driest_Quarter	Temp_Warmest_Quarter	Temp_Coldest_Quarter	Precipitation	Precip._Wettest_Month	Precip._Driest_Month	Precip_Seasonality	Precip_Wettest_Quarter	Precip_Driest_Quarter	Precip_Warmest_Quarter	Precip_Coldest_Quarter	Full_class
BESC-316	10.337500572204599	10.2276668548584	41.841217041015604	525.3712158203119	24.888000488281197	0.44400000572204606	24.4440002441406	4.53133344650269	16.875999450683597	16.8793334960938	4.26466655731201	1636.0	226.0	48.0	45.884117126464794	670.0	184.0	192.0	596.0	nearNorth
BESC-317	10.337500572204599	10.2276668548584	41.841217041015604	525.3712158203119	24.888000488281197	0.44400000572204606	24.4440002441406	4.53133344650269	16.875999450683597	16.8793334960938	4.26466655731201	1636.0	226.0	48.0	45.884117126464794	670.0	184.0	192.0	596.0	nearNorth
BESC-318	10.337500572204599	10.2276668548584	41.841217041015604	525.3712158203119	24.888000488281197	0.44400000572204606	24.4440002441406	4.53133344650269	16.875999450683597	16.8793334960938	4.26466655731201	1636.0	226.0	48.0	45.884117126464794	670.0	184.0	192.0	596.0	nearNorth
BESC-319	10.337500572204599	10.2276668548584	41.841217041015604	525.3712158203119	24.888000488281197	0.44400000572204606	24.4440002441406	4.53133344650269	16.875999450683597	16.8793334960938	4.26466655731201	1636.0	226.0	48.0	45.884117126464794	670.0	184.0	192.0	596.0	nearNorth
BESC-32	11.197999954223599	10.714666366577099	43.20429992675779	522.36474609375	25.888000488281197	1.08800005912781	24.800001144409197	5.420666694641111	17.6399993896484	17.721332550048803	5.03000020980835	1290.0	202.0	26.0	57.7564811706543	583.0	114.0	119.0	531.0	Columbia
BESC-320	10.337500572204599	10.2276668548584	41.841217041015604	525.3712158203119	24.888000488281197	0.44400000572204606	24.4440002441406	4.53133344650269	16.875999450683597	16.8793334960938	4.26466655731201	1636.0	226.0	48.0	45.884117126464794	670.0	184.0	192.0	596.0	nearNorth
BESC-321	10.337500572204599	10.2276668548584	41.841217041015604	525.3712158203119	24.888000488281197	0.44400000572204606	24.4440002441406	4.53133344650269	16.875999450683597	16.8793334960938	4.26466655731201	1636.0	226.0	48.0	45.884117126464794	670.0	184.0	192.0	596.0	nearNorth
BESC-322	10.337500572204599	10.2276668548584	41.841217041015604	525.3712158203119	24.888000488281197	0.44400000572204606	24.4440002441406	4.53133344650269	16.875999450683597	16.8793334960938	4.26466655731201	1636.0	226.0	48.0	45.884117126464794	670.0	184.0	192.0	596.0	nearNorth
BESC-323	10.337500572204599	10.2276668548584	41.841217041015604	525.3712158203119	24.888000488281197	0.44400000572204606	24.4440002441406	4.53133344650269	16.875999450683597	16.8793334960938	4.26466655731201	1636.0	226.0	48.0	45.884117126464794	670.0	184.0	192.0	596.0	nearNorth
BESC-324	10.337500572204599	10.2276668548584	41.841217041015604	525.3712158203119	24.888000488281197	0.44400000572204606	24.4440002441406	4.53133344650269	16.875999450683597	16.8793334960938	4.26466655731201	1636.0	226.0	48.0	45.884117126464794	670.0	184.0	192.0	596.0	nearNorth
BESC-325	10.337500572204599	10.2276668548584	41.841217041015604	525.3712158203119	24.888000488281197	0.44400000572204606	24.4440002441406	4.53133344650269	16.875999450683597	16.8793334960938	4.26466655731201	1636.0	226.0	48.0	45.884117126464794	670.0	184.0	192.0	596.0	nearNorth
BESC-327	10.337500572204599	10.2276668548584	41.841217041015604	525.3712158203119	24.888000488281197	0.44400000572204606	24.4440002441406	4.53133344650269	16.875999450683597	16.8793334960938	4.26466655731201	1636.0	226.0	48.0	45.884117126464794	670.0	184.0	192.0	596.0	nearNorth
BESC-328	10.337500572204599	10.2276668548584	41.841217041015604	525.3712158203119	24.888000488281197	0.44400000572204606	24.4440002441406	4.53133344650269	16.875999450683597	16.8793334960938	4.26466655731201	1636.0	226.0	48.0	45.884117126464794	670.0	184.0	192.0	596.0	nearNorth
BESC-329	10.337500572204599	10.2276668548584	41.841217041015604	525.3712158203119	24.888000488281197	0.44400000572204606	24.4440002441406	4.53133344650269	16.875999450683597	16.8793334960938	4.26466655731201	1636.0	226.0	48.0	45.884117126464794	670.0	184.0	192.0	596.0	nearNorth
BESC-33	11.197999954223599	10.714666366577099	43.20429992675779	522.36474609375	25.888000488281197	1.08800005912781	24.800001144409197	5.420666694641111	17.6399993896484	17.721332550048803	5.03000020980835	1290.0	202.0	26.0	57.7564811706543	583.0	114.0	119.0	531.0	Columbia
BESC-330	10.337500572204599	10.2276668548584	41.841217041015604	525.3712158203119	24.888000488281197	0.44400000572204606	24.4440002441406	4.53133344650269	16.875999450683597	16.8793334960938	4.26466655731201	1636.0	226.0	48.0	45.884117126464794	670.0	184.0	192.0	596.0	nearNorth
BESC-331	9.415666580200199	8.945333480834961	39.233917236328104	502.046997070312	22.7040004730225	-0.0959999933838844	22.800001144409197	3.9433333873748797	15.562000274658198	15.6946668624878	3.50800013542175	1381.0	203.0	45.0	46.197357177734396	568.0	161.0	166.0	496.0	nearNorth
BESC-332	9.415666580200199	8.945333480834961	39.233917236328104	502.046997070312	22.7040004730225	-0.0959999933838844	22.800001144409197	3.9433333873748797	15.562000274658198	15.6946668624878	3.50800013542175	1381.0	203.0	45.0	46.197357177734396	568.0	161.0	166.0	496.0	nearNorth
BESC-333	9.415666580200199	8.945333480834961	39.233917236328104	502.046997070312	22.7040004730225	-0.0959999933838844	22.800001144409197	3.9433333873748797	15.562000274658198	15.6946668624878	3.50800013542175	1381.0	203.0	45.0	46.197357177734396	568.0	161.0	166.0	496.0	nearNorth
BESC-334	9.415666580200199	8.945333480834961	39.233917236328104	502.046997070312	22.7040004730225	-0.0959999933838844	22.800001144409197	3.9433333873748797	15.562000274658198	15.6946668624878	3.50800013542175	1381.0	203.0	45.0	46.197357177734396	568.0	161.0	166.0	496.0	nearNorth
BESC-335	9.415666580200199	8.945333480834961	39.233917236328104	502.046997070312	22.7040004730225	-0.0959999933838844	22.800001144409197	3.9433333873748797	15.562000274658198	15.6946668624878	3.50800013542175	1381.0	203.0	45.0	46.197357177734396	568.0	161.0	166.0	496.0	nearNorth
